"id","name","exit time(s)","active time(s)","jam time total(s)","jam time max continuous(s)","level jam time","stair jam time","ramp jam time","start time(s)","finish time(s)","distance (m)","num attractors used","attractor time(s)","num occ targets used","occ target time(s)","last_goal_started time(s)"
53,"00014",40.275,40.275,0.250,0.175,0.250,0.000,0.000,0.000,40.275,54.955,0,0.000,0,0.000,0.000
54,"00015",107.650,107.650,1.175,0.450,1.175,0.000,0.000,0.000,107.650,60.663,0,0.000,0,0.000,0.000
55,"00016",55.250,55.250,1.575,0.475,1.575,0.000,0.000,0.000,55.250,59.336,0,0.000,0,0.000,0.000
56,"00017",70.650,70.650,1.025,0.275,0.525,0.500,0.000,0.000,70.650,59.734,0,0.000,0,0.000,0.000
57,"00018",137.750,137.750,8.675,2.850,2.600,6.075,0.000,0.000,137.750,58.215,0,0.000,0,0.000,0.000
58,"00019",69.425,69.425,1.950,1.000,1.850,0.100,0.000,0.000,69.425,72.469,0,0.000,0,0.000,0.000
59,"00020",90.900,90.900,5.750,1.825,4.525,1.225,0.000,0.000,90.900,64.895,0,0.000,0,0.000,0.000
60,"00021",79.450,79.450,4.100,1.325,3.075,1.025,0.000,0.000,79.450,58.208,0,0.000,0,0.000,0.000
61,"00022",57.700,57.700,1.000,0.325,1.000,0.000,0.000,0.000,57.700,63.037,0,0.000,0,0.000,0.000
62,"00023",31.200,31.200,0.375,0.200,0.375,0.000,0.000,0.000,31.200,37.740,0,0.000,0,0.000,0.000
63,"00024",28.700,28.700,0.175,0.175,0.175,0.000,0.000,0.000,28.700,38.770,0,0.000,0,0.000,0.000
64,"00025",80.875,80.875,2.425,0.425,2.175,0.250,0.000,0.000,80.875,65.924,0,0.000,0,0.000,0.000
